Country Code,Country Name,Year of data,United Nations Region,World Bank Income Status,Food Vehicle,Mandatory Fortification,Mandatory Fortification Source English,Mandatory Fortification Comment,Fortification Year,Fortification Year Source English,Fortification Year Comment,Effective Year,Effective Year Source English,Effective Year Comment,Voluntary Fortification,Voluntary Fortification Year,Voluntary Fortification Source English,Voluntary Fortification Comment,Legislation scope types,Comment on legislation scope types,Legislation scope origins - Domestically Produced,Legislation scope origins - Imports,Legislation scope origins - Exports,Comment on legislation scope origins,Legislation scope uses - Household,Legislation scope uses - Processed food,Legislation scope uses - Animal feed,Legislation scope uses - Donated food,Comment on legislation scope uses,Source of legislation scope data in original language,Source of legislation scope data in English,External monitoring protocol,Source of external monitoring protocol data in original language,Source of external monitoring protocol data in English,Comment on external monitoring protocol data,Import monitoring protocol,Source of import monitoring protocol data in original language,Source of import monitoring protocol data in English,Comment on import monitoring protocol data
4,Algeria,0,Africa,Upper middle income,Maize flour,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
4,Algeria,0,Africa,Upper middle income,Oil,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
4,Algeria,0,Africa,Upper middle income,Rice,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
4,Algeria,1990,Africa,Upper middle income,Salt,YES,"No Author. Executive Decree No. 90-40, Proclaiming that Selling Iodized Salt is Mandatory to Avoid Iodine Deficiency. People's Democratic Republic of Algeria. 30/January/1990.",Replaced Decree no. 198-67 of 27 September 1967 which provided for the compulsory sale of iodized salt in areas affected by the thyroid goiter,1990,"No Author. Executive Decree No. 90-40, Proclaiming that Selling Iodized Salt is Mandatory to Avoid Iodine Deficiency. People's Democratic Republic of Algeria. 30/January/1990.",Replaced Decree no. 198-67 of 27 September 1967 which provided for the compulsory sale of iodized salt in areas affected by the thyroid goiter. Not considered original legislation because it was not nationwide.,1990,,,NO,0,,,All,Article 1: Only iodized salt that meets the technical specifications provided for in the following Article 2 can be sold across the nation for nutritional use,Domestically produced,Imports,,As origins were not specified it was assumed the scope of the law applies to all domestically produced and imported product and excludes exports,Household,Processed food,Animal feed,,Article 1: Only iodized salt that meets the technical specifications provided for in the following Article 2 can be sold across the nation for nutritional use,"No Author. Executive Decree No. 90-40, Proclaiming that Selling Iodized Salt is Mandatory to Avoid Iodine Deficiency. People's Democratic Republic of Algeria. 30/January/1990.","No Author. Executive Decree No. 90-40, Proclaiming that Selling Iodized Salt is Mandatory to Avoid Iodine Deficiency. People's Democratic Republic of Algeria. 30/January/1990.",Unknown,"Worldatlas. The World's Top Salt Producing Countries. Extracted 20/August/2020. [https://bit.ly/2U9Rgbg], IndexMundi. Salt Production by Country (Thousand metric tons). Extracted 20/August/2020. [https://bit.ly/2MlWKwP], British Geological Survey. Mineral Production 2008 to 2012. Extracted 20/August/2020. [https://bit.ly/3ggeya3]","Worldatlas. The World's Top Salt Producing Countries. Extracted 20/August/2020. [https://bit.ly/2U9Rgbg], IndexMundi. Salt Production by Country (Thousand metric tons). Extracted 20/August/2020. [https://bit.ly/2MlWKwP], British Geological Survey. Mineral Production 2008 to 2012. Extracted 20/August/2020. [https://bit.ly/3ggeya3]",Country is salt producing. Hence we assume having an external monitoring protocol is applicable.,Unknown,"IndexMundi. Salt (incl. table salt & denatured salt) & pure sodium chloride, whether or ... Imports by Country in US Dollars. Extracted 20 August 2020. [https://bit.ly/3heCICU], Tridge. Top Importing Countries of Salt. Extracted 20 August 2020. [https://bit.ly/329Zs0D], World's Richest Countries. Salt Importers. Extracted 20 August 2020. [https://bit.ly/3g9M41y]","IndexMundi. Salt (incl. table salt & denatured salt) & pure sodium chloride, whether or ... Imports by Country in US Dollars. Extracted 20 August 2020. [https://bit.ly/3heCICU], Tridge. Top Importing Countries of Salt. Extracted 20 August 2020. [https://bit.ly/329Zs0D], World's Richest Countries. Salt Importers. Extracted 20 August 2020. [https://bit.ly/3g9M41y]",Country is a salt importer. Hence we assume having an import monitoring protocol is applicable.
4,Algeria,0,Africa,Upper middle income,Wheat flour,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
5,American Samoa,2020,Oceania,Upper middle income,Maize flour,,,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
5,American Samoa,,Oceania,Upper middle income,Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
5,American Samoa,2017,Oceania,Upper middle income,Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
5,American Samoa,,Oceania,Upper middle income,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
5,American Samoa,2020,Oceania,Upper middle income,Wheat flour,,,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
6,Andorra,0,Europe,High income,Maize flour,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
6,Andorra,0,Europe,High income,Oil,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
6,Andorra,0,Europe,High income,Rice,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
6,Andorra,0,Europe,High income,Salt,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,Fortification status unknown,Not applicable,,,Fortification status unknown
6,Andorra,0,Europe,High income,Wheat flour,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
7,Angola,0,Africa,Lower middle income,Maize flour,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
7,Angola,0,Africa,Lower middle income,Oil,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
7,Angola,0,Africa,Lower middle income,Rice,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
7,Angola,2008,Africa,Lower middle income,Salt,YES,Diario da Republica. Decree 79/08 establishes standards for the preparation and distribution of salt for human and animal consumption. Republic of Angola. 22/September/2008.,Decree 79/08 replaces Decree 24/96 of 30 August 1996 which established salt iodization but did not mandate it and did not define iodization levels.,2008,Diario da Republica. Decree 79/08 establishes standards for the preparation and distribution of salt for human and animal consumption. Republic of Angola. 22/September/2008.  ,Decree 79/08 replaces Decree 24/96 of 30 August 1996 which established salt iodization but did not mandate it and did not define iodization levels.,2008,,,NO,0,,,All,All salt intended for human and animal consumption must be treated with potassium iodate,,Imports,,The importation of non-iodized salt for human and animal consumption into the national territory of the Republic of Angola is prohibited. NB. All salt in Angola is imported.,Household,Processed food,Animal feed,,All salt intended for human and animal consumption must be treated with potassium iodate,Diario da Republica. Decreto No. 79/08 Estabelece as normas relativas a preparacio e distribuicao do sal para o consumo humano e animal. República de Angola. 22/Setembro/2008.,Diario da Republica. Decreto No. 79/08 Estabelece as normas relativas a preparacio e distribuicao do sal para o consumo humano e animal. República de Angola. 22/Setembro/2008.,Not applicable,,,"National legislation suggests all salt is imported. Hence we assume having an external monitoring protocol is not applicable. However, the following references indicate local salt production of around 40,000 MT annually.   References:   IndexMundi. Salt: World Production, By Country. Extracted 22/January/2019. [https://bit.ly/2HyED8e] and   British Geological Survey. Mineral Production 2008 to 2012. Extracted 22/January/2019. [https://bit.ly/2DrALBQ]",Unknown,"IndexMundi. Salt (incl. table salt & denatured salt) & pure sodium chloride, whether or ... Imports by Country in US Dollars. Extracted 20 August 2020. [https://bit.ly/3heCICU], Tridge. Top Importing Countries of Salt. Extracted 20 August 2020. [https://bit.ly/329Zs0D], World's Richest Countries. Salt Importers. Extracted 20 August 2020. [https://bit.ly/3g9M41y]","IndexMundi. Salt (incl. table salt & denatured salt) & pure sodium chloride, whether or ... Imports by Country in US Dollars. Extracted 20 August 2020. [https://bit.ly/3heCICU], Tridge. Top Importing Countries of Salt. Extracted 20 August 2020. [https://bit.ly/329Zs0D], World's Richest Countries. Salt Importers. Extracted 20 August 2020. [https://bit.ly/3g9M41y]",Country is a salt importer. Hence we assume having an import monitoring protocol is applicable.
7,Angola,0,Africa,Lower middle income,Wheat flour,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
258,Anguilla,2020,Americas, ,Maize flour,,,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
258,Anguilla,,Americas, ,Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
258,Anguilla,2017,Americas, ,Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
258,Anguilla,,Americas, ,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
258,Anguilla,2020,Americas, ,Wheat flour,,,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
8,Antigua and Barbuda,0,Americas,High income,Maize flour,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
8,Antigua and Barbuda,0,Americas,High income,Oil,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
8,Antigua and Barbuda,0,Americas,High income,Rice,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
8,Antigua and Barbuda,0,Americas,High income,Salt,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,Fortification status unknown,Not applicable,,,Fortification status unknown
8,Antigua and Barbuda,1992,Americas,High income,Wheat flour,YES,Caribbean Community Secretariat. Caribbean Community (CARICOM) Standard CCS 0024:1992 Wheat flour. Guyana. January/1995.,,1992,Caribbean Community Secretariat. Caribbean Community (CARICOM) Standard CCS 0024:1992 Wheat flour. Guyana. January/1995.,,1992,,,NO,0,,,Subset,"""1.0 SCOPE 1.1 This standard applies to wheat flour (also called flour, white flour, or enriched flour) that is intended for human consumption, made from clean, sound and marketable grades of millable wheat grains of the species Triticum aestivum L. (common wheat) or from Triticum compactum Host, (club wheat).   1.2 It does not apply to:   (a) any product made from durum wheat (hard wheat, T. durum Desf.),  (b) whole-wheat flour, whole meal flour or semolina made from common wheat or club wheat, or mixtures thereof,   (c) wheat flour to be used in brewing, for the production of starch or gluten, or for non-food use,   (d) wheat flour in which the protein content was reduced,   (e) wheat flour subjected to special treatments other than bleaching or drying, or   (f) wheat flour containing ingredients not mentioned in Section 4.2 (such as self-raising flour)."" Page 6.",Domestically produced,Imports,,Not stipulated; it was assumed that domestically produced and imported flour must be fortified and exported flour does not need to be fortified.,Household,Processed food,,,Not stipulated; it was assumed that flour for household and processed foods must be fortified and flour for animal feed or that is donated does not need to be fortified.,Caribbean Community Secretariat. Caribbean Community (CARICOM) Standard CCS 0024:1992 Wheat flour. Guyana. January/1995.,Caribbean Community Secretariat. Caribbean Community (CARICOM) Standard CCS 0024:1992 Wheat flour. Guyana. January/1995.,Yes,Caribbean Community Secretariat. Caribbean Community (CARICOM) Standard CCS 0024:1992 Wheat flour. Guyana. January/1995.,Caribbean Community Secretariat. Caribbean Community (CARICOM) Standard CCS 0024:1992 Wheat flour. Guyana. January/1995.,Monitoring starts on page 11.,Unknown,,,
9,Argentina,0,Americas,Upper middle income,Maize flour,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
9,Argentina,0,Americas,Upper middle income,Oil,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
9,Argentina,0,Americas,Upper middle income,Rice,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
9,Argentina,1968,Americas,Upper middle income,Salt,YES,National Agrifood Health and Quality Service (SENASA). National Law 17259. Argentina. 8/May/1967. [http://bit.ly/2xrBU6l] and Ministry of Public Health. Decree No 4.277. Regulate Law 17259 that establishes that salt for human or animal use must be enriched with iodine. Argentina. 12/June/1967,"Law 17259 requires the iodization of salt for human and animal consumption, excluding salt for industrial uses (food and non-food), throughout the country, unless the absence of endemic goiter is verified. Decree 4.277 sets standards for iodization  and says that Law 17259 will come into effect in certain provinces from January 1968 and in the whole country from 1969. There is the provision however that certain provinces could be exempt and standards could be changed in certain provinces or for animal feed.",1968,National Agrifood Health and Quality Service (SENASA). National Law 17259. Argentina. 8/May/1967. [http://bit.ly/2xrBU6l] and Ministry of Public Health. Decree No 4.277. Regulate Law 17259 that establishes that salt for human or animal use must be enriched with iodine. Argentina. 12/June/1967,"Law 17259 requires the iodization of salt for human and animal consumption, excluding salt for industrial uses (food and non-food), throughout the country, unless the absence of endemic goiter is verified. Decree 4.277 sets standards for iodization  and says that Law 17259 will come into effect in certain provinces from January 1968 and in the whole country from 1969. There is the provision however that certain provinces could be exempt and standards could be changed in certain provinces or for animal feed.",1968,,,NO,0,,,Subset,"Article 1.- Throughout the national territory, salt for use in food for humans or animals must be enriched with iodine.  Article 2.- Except for the obligation imposed in Article 1, those provinces where the absence of endemic goitre is verified.  Article 8.- Salt for industrial use, whether for food or pharmaceutical use, is excluded from the regulations of this law.",Domestically produced,Imports,,As origins were not specified it was assumed the scope of the law applies to all domestically produced and imported product and excludes exports,Household,,Animal feed,,"Article 1.- Throughout the national territory, salt for use in food for humans or animals must be enriched with iodine.  Article 2.- Except for the obligation imposed in Article 1, those provinces where the absence of endemic goitre is verified.  Article 8.- Salt for industrial use, whether for food or pharmaceutical use, is excluded from the regulations of this law.",National Agrifood Health and Quality Service (SENASA). National Law 17259. Argentina. 8/May/1967. [http://bit.ly/2xrBU6l],National Agrifood Health and Quality Service (SENASA). National Law 17259. Argentina. 8/May/1967. [http://bit.ly/2xrBU6l],Unknown,"Worldatlas. The World's Top Salt Producing Countries. Extracted 20/August/2020. [https://bit.ly/2U9Rgbg], IndexMundi. Salt Production by Country (Thousand metric tons). Extracted 20/August/2020. [https://bit.ly/2MlWKwP], British Geological Survey. Mineral Production 2008 to 2012. Extracted 20/August/2020. [https://bit.ly/3ggeya3]","Worldatlas. The World's Top Salt Producing Countries. Extracted 20/August/2020. [https://bit.ly/2U9Rgbg], IndexMundi. Salt Production by Country (Thousand metric tons). Extracted 20/August/2020. [https://bit.ly/2MlWKwP], British Geological Survey. Mineral Production 2008 to 2012. Extracted 20/August/2020. [https://bit.ly/3ggeya3]",Country is salt producing. Hence we assume having an external monitoring protocol is applicable.,Unknown,"IndexMundi. Salt (incl. table salt & denatured salt) & pure sodium chloride, whether or ... Imports by Country in US Dollars. Extracted 20 August 2020. [https://bit.ly/3heCICU], Tridge. Top Importing Countries of Salt. Extracted 20 August 2020. [https://bit.ly/329Zs0D], World's Richest Countries. Salt Importers. Extracted 20 August 2020. [https://bit.ly/3g9M41y]","IndexMundi. Salt (incl. table salt & denatured salt) & pure sodium chloride, whether or ... Imports by Country in US Dollars. Extracted 20 August 2020. [https://bit.ly/3heCICU], Tridge. Top Importing Countries of Salt. Extracted 20 August 2020. [https://bit.ly/329Zs0D], World's Richest Countries. Salt Importers. Extracted 20 August 2020. [https://bit.ly/3g9M41y]",Country is a salt importer. Hence we assume having an import monitoring protocol is applicable.
9,Argentina,2002,Americas,Upper middle income,Wheat flour,YES,No Author. Law 25.630 and Regulatory Decree No. 597/2003. Argentina. 31/July/2002.,,2002,No Author. Law 25.630 and Regulatory Decree No. 597/2003. Argentina. 31/July/2002.,,2003,,,NO,0,,,Subset,"ARTICLE 3o - Wheat flour intended for consumption that is marketed in the national market, shall be added with iron, folic acid, thiamine, riboflavin and niacin ... ARTICLE 4o - Except as provided in the previous article flour of wheat for the production of dietary products that require a greater or lesser proportion of these nutrients.  Page 1.",Domestically produced,Imports,,"ARTICLE 1 - They apply to all wheat flours that are used for human consumption in the country, whether they are nationally produced or imported, for direct consumption or processed. Page 3.",Household,Processed food,,,Not stipulated; it was assumed that flour for household and processed foods must be fortified and flour for animal feed or that is donated does not need to be fortified.,No Author. Law 25.630 and Regulatory Decree Nº 597/2003. Argentina. 31/July/2002.,No Author. Law 25.630 and Regulatory Decree Nº 597/2003. Argentina. 31/July/2002.,Yes,"No Author. Control of Enrichment of Wheat Flour with Iron and Vitamins, Disposition 2280/2005-ANMAT-Approve the National Enforcement Plan for Law No 25.630 and its Regulating Decree No 597/2003.  Argentina.  19/April/2005.","No Author. Control of Enrichment of Wheat Flour with Iron and Vitamins, Disposition 2280/2005-ANMAT-Approve the National Enforcement Plan for Law No 25.630 and its Regulating Decree No 597/2003.  Argentina.  19/April/2005.",Monitoring starts on page 6.,Yes,"No Author. Control of Enrichment of Wheat Flour with Iron and Vitamins, Disposition 2280/2005-ANMAT-Approve the National Enforcement Plan for Law No 25.630 and its Regulating Decree No 597/2003.  Argentina.  19/April/2005.","No Author. Control of Enrichment of Wheat Flour with Iron and Vitamins, Disposition 2280/2005-ANMAT-Approve the National Enforcement Plan for Law No 25.630 and its Regulating Decree No 597/2003.  Argentina.  19/April/2005.",Monitoring starts on page 11.
1,Armenia,0,Asia,Upper middle income,Maize flour,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
1,Armenia,0,Asia,Upper middle income,Oil,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
1,Armenia,0,Asia,Upper middle income,Rice,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
